"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 21 21:17:25 CST 2026","Thu May 21 21:17:25 CST 2026","130","","test_sort_app","TestSortAppAlgorithms","","","test_algorithm_sorted[bubble]","每种算法排序后验证结果有序"
"skipped","Thu May 21 21:15:47 CST 2026","Thu May 21 21:15:47 CST 2026","0","","test_dmabuf","TestDmaBufTools","","","test_test_dmabuf_exists","test_dmabuf 二进制存在"
"passed","Thu May 21 21:15:43 CST 2026","Thu May 21 21:15:43 CST 2026","136","","test_cv_framework","TestCvTestFilter","","","test_run_group_math","-g group_math 运行指定组"
"passed","Thu May 21 21:17:11 CST 2026","Thu May 21 21:17:21 CST 2026","9659","","test_slt","TestSltCommand","","","test_slt_multi_command_sequential","测试连续发送多条命令"
"passed","Thu May 21 21:15:45 CST 2026","Thu May 21 21:15:47 CST 2026","1805","","test_dmabuf","TestDmaBufModuleReload","","","test_module_restart","restart 后功能正常"
"passed","Thu May 21 21:17:25 CST 2026","Thu May 21 21:17:25 CST 2026","97","","test_sort_app","TestSortAppBasic","","","test_single_sort_merge","merge sort 排序 10 个元素"
"skipped","Thu May 21 21:15:47 CST 2026","Thu May 21 21:15:47 CST 2026","0","","test_dmabuf","TestDmaBufTools","","","test_demo_dmabuf_app_exists","demo_dmabuf_app 二进制存在"
"passed","Thu May 21 21:15:44 CST 2026","Thu May 21 21:15:44 CST 2026","135","","test_cv_framework","TestCvTestRepeat","","","test_fail_fast","-f 快速失败模式"
"skipped","Thu May 21 21:15:47 CST 2026","Thu May 21 21:15:47 CST 2026","0","","test_dmabuf","TestDmaBufStress","","","test_no_kernel_errors","运行测试后 dmesg 无内核错误"
"passed","Thu May 21 21:17:26 CST 2026","Thu May 21 21:17:26 CST 2026","135","","test_sort_app","TestSortAppEdgeCases","","","test_large_array","大数组排序 50000 元素"
"passed","Thu May 21 21:17:25 CST 2026","Thu May 21 21:17:25 CST 2026","137","","test_sort_app","TestSortAppAlgorithms","","","test_algorithm_sorted[selection]","每种算法排序后验证结果有序"
"passed","Thu May 21 21:15:42 CST 2026","Thu May 21 21:15:43 CST 2026","133","","test_cv_framework","TestCvTestBinary","","","test_cv_test_help","cv_test --help 正常输出"
"skipped","Thu May 21 21:15:47 CST 2026","Thu May 21 21:15:47 CST 2026","0","","test_dmabuf","TestDmaBufTools","","","test_sync_file_info_exists","sync_file_info 二进制存在"
"skipped","Thu May 21 21:15:47 CST 2026","Thu May 21 21:15:47 CST 2026","0","","test_dmabuf","TestDmaBufFullPipeline","","","test_full_pipeline_test_suite","端到端 5 步流水线 (test 12)"
"passed","Thu May 21 21:17:26 CST 2026","Thu May 21 21:17:26 CST 2026","109","","test_sort_app","TestSortAppEdgeCases","","","test_benchmark_all","benchmark 模式运行全部算法"
"passed","Thu May 21 21:15:43 CST 2026","Thu May 21 21:15:43 CST 2026","176","","test_cv_framework","TestCvTestList","","","test_list_detail","--list-detail 显示详细状态信息"
"passed","Thu May 21 21:17:00 CST 2026","Thu May 21 21:17:00 CST 2026","141","","test_slt","TestSltDirectories","","","test_log_directory_writable","日志目录可写"
"passed","Thu May 21 21:16:58 CST 2026","Thu May 21 21:16:59 CST 2026","275","","test_process","TestService","","","test_cron_running","确认 crond 服务运行"
"passed","Thu May 21 21:17:08 CST 2026","Thu May 21 21:17:11 CST 2026","3226","","test_slt","TestSltCommand","","","test_slt_command_exit_code_nonzero","测试命令返回非零退出码"
"passed","Thu May 21 21:17:00 CST 2026","Thu May 21 21:17:00 CST 2026","108","","test_slt","TestSltConfig","","","test_config_network_mode_tcp","配置文件 network 段配置为 TCP 模式"
"skipped","Thu May 21 21:15:47 CST 2026","Thu May 21 21:15:47 CST 2026","0","","test_dmabuf","TestDmaBufConcurrency","","","test_multi_consumer_parallel","两个 importer 并行消费同一 dma-buf (test 10)"
"skipped","Thu May 21 21:15:47 CST 2026","Thu May 21 21:15:47 CST 2026","0","","test_dmabuf","TestDmaBufSyncFile","","","test_import_sync_file","IMPORT_SYNC_FILE 导入 fence (test 8)"
"passed","Thu May 21 21:16:59 CST 2026","Thu May 21 21:17:00 CST 2026","105","","test_slt","TestSltConfig","","","test_config_file_exists","确认 /etc/slt/config.yaml 存在"
"passed","Thu May 21 21:15:44 CST 2026","Thu May 21 21:15:44 CST 2026","164","","test_cv_framework","TestCvTestRepeat","","","test_count_2","-n 2 重复执行 2 轮"
"passed","Thu May 21 21:17:00 CST 2026","Thu May 21 21:17:00 CST 2026","105","","test_slt","TestSltConfig","","","test_config_has_serial_section","配置文件包含 serial 段"
